Address,#Bedrooms,#K12Estimates
7240-7484 Old Sauk Rd,298.28999999999945,68.00000000000024
2333 Carling Dr,77.38999999999999,43.13702109645097
1141-1149 Petra Pl,64.32999999999996,40.073314485600655
4310-4340 Melody Ln & 2402-2502 Independence Ln,465.8899999999978,36.00000000000042
2330-2358 Allied Dr,64.32999999999996,35.85740492485711
1161-1174 Petra Pl,48.249999999999964,30.056543198044967
1-69 Cherokee Cir,335.93999999999755,27.0000000000001
1802 Monroe St,95.19000000000005,23.999999999999975
301-317 Nautilus Dr,24.089999999999996,21.249089165867694
7201&7203 Mid Town Rd,124.67000000000012,20.999999999999996
6602-6652 Offshore Dr & 2-266 Grand Canyon Dr,249.9699999999997,20.069377538490656
2002-2208 Post Rd,56.28999999999996,20.000000000000018
2125-2233 Luann Ln,96.49000000000004,19.999999999999993
Mid Town Rd,4.029999999999999,18.952970297029708
4717&4721 Crescent Rd,4.029999999999999,17.303671437461105
710-730 Mesta Ln,48.249999999999964,16.996477414007465
6115-6137 Quiet Canyon Loop & 6001-6059 Canyon Pkwy,86.33000000000001,15.999999999999996
1305-1333 Tompkins Dr Unit D,156.71000000000006,14.776050559363945
201-536 Jenewein Rd,12.01,14.0
312 East Bluff,440.76999999999896,13.419698584259393
1002-1010 Gammon Ln & 1017-1021 McKenna Blvd,40.20999999999997,11.343049947452851
8-22 Springfield Ct & 1-8 Cocoa Beach Dr & 1-26 Boca Grande Way & 1-11 Daytona Beach Dr,106.49000000000005,9.552476275907667
2-46 Craig Ave,47.239999999999974,9.108554534353107
6902-6950 Tottenham Rd & 2009-2017 Canterbury Rd,34.16999999999999,8.981510015408317
7414-7433 Old Sauk Rd,100.51000000000005,8.923740368456118
6401-6443 Bridge Rd,149.65000000000003,8.907384627594148
6933-6949 Chester Dr Unit C,84.43,8.451028477053194
6801-6947 Raymond Rd,96.49000000000004,7.999999999999988
3201 Ridgeway Ave,10.01,7.659015302727879
2532 Frazier Ave,8.01,7.506024096385543
1122 Alrita Ct,12.01,7.481431788777615
2501 Fish Hatchery Rd,12.01,7.481431788777615
1117 Alrita Ct,12.01,7.481431788777615
1121 Alrita Ct,12.01,7.481431788777615
1125 Alrita Ct,12.01,7.481431788777615
602-612 N Westfield Rd & 7201-7207 Old Sauk Rd,80.41,7.139169863969321
221 Nautilus Dr,8.01,7.065388302972197
217 Nautilus Dr,8.01,7.065388302972197
702-738 Saukdale Way & 1-20 Saukdale Trl & 7202-7224 Saukdale Dr,88.45000000000002,7.000000000000003
2-16 Greenside Cir & 9003-9077 Bentley Green & 9041-9090 Paddington Pkwy & 902-1002 Castle Stone Pass & 901-904 Old York Pl,213.82999999999984,7.000000000000001
6802-6934 Old Sauk Ct & 6901-6947 Old Sauk Rd,105.51000000000006,6.543509438350324
3710-3714 Packers Ave,21.15,6.4519535374868
6901-6923 Tottenham Rd & 2101-2115 Canterbury Rd,48.20999999999997,6.384530853761632
1118 Petra Pl,10.01,6.2355647132109855
3205 Ridgeway Ave,8.01,6.128742514970061
3209 Ridgeway Ave,8.01,6.128742514970061
12-65 Waunona Woods Ct,102.35000000000004,6.092020157930246
7807-7889 Tree Ln & 7817-7878 E Oakbridge Way & 202-232 S High Point Rd,127.62000000000012,6.0
1209 E Gorham St,4.01,5.519221642145229
4509-4557 Martha Ln,48.249999999999964,5.379041248606459
321-409 Palomino Ln & 3217 Stevens St,33.309999999999974,5.2548006310177895
3106&3110 Old Gate Rd,16.089999999999996,5.239885190704873
1401&1403 Theresa Ter,8.03,5.2201980497392055
6206&6208 Jacobs Way Unit CDM,8.03,5.2201980497392055
4322 Lumley Rd,10.01,5.113071743673091
2521 Fish Hatchery Rd,8.01,4.989697637644355
1122 Petra Pl,8.01,4.989697637644355
902-944(even) Acewood Blvd,44.229999999999976,4.930880713489403
6502-6532(even) & 6598 Offshore Dr & 130-136(even) S Yellowstone Dr,60.20999999999997,4.834088977047331
3213 Ridgeway Ave,6.01,4.598469727212243
5837 Raymond Rd,12.01,4.588222452655134
5821 Raymond Rd,12.01,4.588222452655134
5829 Raymond Rd,12.01,4.588222452655134
5833 Raymond Rd,12.01,4.588222452655134
5825 Raymond Rd,12.01,4.588222452655134
5817 Raymond Rd,12.01,4.588222452655134
3102 Old Gate Rd,14.04,4.575536788651551
1049&1057 McKenna Blvd,16.169999999999998,4.561480170363409
1101&1103&1105 McKenna Blvd Unit H,16.089999999999996,4.538912550472927
1109 McKenna Blvd,16.089999999999996,4.538912550472927
